Instance,Bound,Incumbent
agricola-opt18-strips-p01,142.0,142.0
agricola-opt18-strips-p02,142.0,142.0
agricola-opt18-strips-p03,204.0,204.0
agricola-opt18-strips-p04,146.0,146.0
agricola-opt18-strips-p05,208.0,208.0
agricola-opt18-strips-p06,206.0,206.0
agricola-opt18-strips-p07,212.0,212.0
agricola-opt18-strips-p08,150.0,150.0
agricola-opt18-strips-p09,150.0,150.0
agricola-opt18-strips-p10,154.0,154.0
agricola-opt18-strips-p11,216.0,216.0
agricola-opt18-strips-p12,214.0,214.0
agricola-opt18-strips-p13,220.0,220.0
agricola-opt18-strips-p14,158.0,158.0
agricola-opt18-strips-p15,158.0,158.0
agricola-opt18-strips-p16,222.0,222.0
agricola-opt18-strips-p17,162.0,162.0
agricola-opt18-strips-p18,222.0,222.0
agricola-opt18-strips-p19,226.0,226.0
agricola-opt18-strips-p20,166.0,166.0
agricola-sat18-strips-p01,382.0,382.0
agricola-sat18-strips-p02,386.0,386.0
agricola-sat18-strips-p03,390.0,390.0
agricola-sat18-strips-p04,576.0,576.0
agricola-sat18-strips-p05,580.0,580.0
agricola-sat18-strips-p06,402.0,402.0
agricola-sat18-strips-p07,586.0,586.0
agricola-sat18-strips-p08,590.0,590.0
agricola-sat18-strips-p09,594.0,594.0
agricola-sat18-strips-p10,598.0,598.0
agricola-sat18-strips-p11,283.0,283.0
agricola-sat18-strips-p12,287.0,287.0
agricola-sat18-strips-p13,276.0,276.0
agricola-sat18-strips-p14,279.0,279.0
agricola-sat18-strips-p15,288.0,288.0
agricola-sat18-strips-p16,297.0,297.0
agricola-sat18-strips-p17,415.0,415.0
agricola-sat18-strips-p18,420.0,420.0
agricola-sat18-strips-p19,428.0,428.0
agricola-sat18-strips-p20,433.0,433.0
airport-p01-airport1-p1,8.0,8.0
airport-p02-airport1-p1,9.0,9.0
airport-p03-airport1-p2,17.0,17.0
airport-p04-airport2-p1,20.0,20.0
airport-p05-airport2-p1,21.0,21.0
airport-p06-airport2-p2,41.0,41.0
airport-p07-airport2-p2,41.0,41.0
airport-p08-airport2-p3,62.0,62.0
airport-p09-airport2-p4,71.0,71.0
airport-p10-airport3-p1,18.0,18.0
airport-p11-airport3-p1,21.0,21.0
airport-p12-airport3-p2,39.0,39.0
airport-p13-airport3-p2,37.0,37.0
airport-p14-airport3-p3,60.0,60.0
airport-p15-airport3-p3,58.0,58.0
airport-p16-airport3-p4,79.0,79.0
airport-p17-airport3-p5,88.0,88.0
airport-p18-airport3-p6,107.0,107.0
airport-p19-airport3-p6,90.0,90.0
airport-p20-airport3-p7,115.0,115.0
airport-p21-airport4halfMUC-p2,101.0,101.0
airport-p22-airport4halfMUC-p3,148.0,148.0
airport-p23-airport4halfMUC-p4,168.0,168.0
airport-p24-airport4halfMUC-p4,162.0,162.0
airport-p25-airport4halfMUC-p5,212.0,212.0
airport-p26-airport4halfMUC-p6,220.0,220.0
airport-p27-airport4halfMUC-p6,246.0,246.0
airport-p28-airport4halfMUC-p7,294.0,294.0
airport-p29-airport4halfMUC-p8,308.0,308.0
airport-p30-airport4halfMUC-p8,310.0,310.0
airport-p31-airport4halfMUC-p9,358.0,358.0
airport-p32-airport4halfMUC-p10,390.0,390.0
airport-p33-airport4halfMUC-p10,393.0,393.0
airport-p34-airport4halfMUC-p11,427.0,427.0
airport-p35-airport4halfMUC-p12,433.0,433.0
airport-p36-airport5MUC-p2,109.0,109.0
airport-p37-airport5MUC-p3,141.0,141.0
airport-p38-airport5MUC-p3,154.0,154.0
airport-p39-airport5MUC-p4,208.0,208.0
airport-p40-airport5MUC-p4,190.0,190.0
airport-p41-airport5MUC-p4,178.0,178.0
airport-p42-airport5MUC-p5,257.0,257.0
airport-p43-airport5MUC-p5,223.0,223.0
airport-p44-airport5MUC-p5,227.0,227.0
airport-p45-airport5MUC-p6,249.0,249.0
airport-p46-airport5MUC-p6,290.0,290.0
airport-p47-airport5MUC-p8,355.0,355.0
airport-p48-airport5MUC-p9,423.0,423.0
airport-p49-airport5MUC-p10,451.0,451.0
airport-p50-airport5MUC-p15,685.0,685.0
barman-mco14-strips-p1-11-5-15,36.0,36.0
barman-mco14-strips-p1-11-5-16,38.0,38.0
barman-mco14-strips-p1-8-4-10,26.0,26.0
barman-mco14-strips-p2-10-4-13,31.0,31.0
barman-mco14-strips-p2-11-4-15,34.0,34.0
barman-mco14-strips-p2-11-5-15,37.0,37.0
barman-mco14-strips-p2-11-5-16,37.0,37.0
barman-mco14-strips-p2-11-5-17,38.0,38.0
barman-mco14-strips-p3-10-4-13,31.0,31.0
barman-mco14-strips-p3-11-4-15,34.0,34.0
barman-mco14-strips-p3-11-5-15,36.0,36.0
barman-mco14-strips-p3-11-5-16,38.0,38.0
barman-mco14-strips-p3-11-5-17,38.0,38.0
